"id","flight_number","date","from_city","airport_out_code","to_city","airport_to_code","scheduled_time_of_departure","actual_time_of_departure","flight_time","landed_time","scheduled_time_of_arrival","aircraft_code","aircraft_model","date_of_load"
23,"EK837","2025-01-08","Dubai ","DXB","Bahrain ","BAH","08:20","08:50","0:49","08:39","08:40","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
24,"EK854","2025-01-08","Kuwait City ","KWI","Dubai ","DXB","03:40","03:56","1:21","06:17","06:25","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
25,"EK853","2025-01-07","Dubai ","DXB","Kuwait City ","KWI","01:25","02:03","1:18","02:20","02:15","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
26,"EK2587","2025-01-07","Dubai ","DWC","Dubai ","DXB","11:51","11:51","0:27","12:18","12:18","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
27,"EK2555","2025-01-07","Dubai ","DWC","Dubai ","DWC","10:47","10:47","0:35","11:22","11:22","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
28,"EK2554","2025-01-07","Dubai ","DWC","Dubai ","DWC","09:45","09:45","0:36","10:21","10:21","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
29,"EK2586","2025-01-07","Dubai ","DXB","Dubai ","DWC","08:45","08:45","0:33","09:17","09:17","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
30,"EK2587","2025-01-06","Dubai ","DWC","Dubai ","DXB","13:14","13:14","0:30","13:45","13:45","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
32,"EK2556","2025-01-06","Dubai ","DWC","Dubai ","DWC","11:20","11:20","0:32","11:52","11:52","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
33,"EK2555","2025-01-06","Dubai ","DWC","Dubai ","DWC","10:32","10:32","0:31","11:04","11:04","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
34,"EK2554","2025-01-06","Dubai ","DWC","Dubai ","DWC","09:37","09:37","0:35","10:12","10:12","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
35,"EK2586","2025-01-06","Dubai ","DXB","Dubai ","DWC","08:48","08:48","0:31","09:19","09:19","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
36,"EK2587","2025-01-05","Dubai ","DWC","Dubai ","DXB","14:04","14:04","0:33","14:37","14:37","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
37,"EK2557","2025-01-05","Dubai ","DWC","Dubai ","DWC","13:09","13:09","0:36","13:45","13:45","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
38,"EK2556","2025-01-05","Dubai ","DWC","Dubai ","DWC","12:02","12:02","0:38","12:39","12:39","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
39,"EK2555","2025-01-05","Dubai ","DWC","Dubai ","DWC","11:04","11:04","0:36","11:40","11:40","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
40,"EK2554","2025-01-05","Dubai ","DWC","Dubai ","DWC","10:03","10:03","0:35","10:38","10:38","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
41,"EK2586","2025-01-05","Dubai ","DXB","Dubai ","DWC","08:54","08:54","0:38","09:32","09:32","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
42,"EK2587","2025-01-04","Dubai ","DWC","Dubai ","DXB","13:55","13:55","0:30","14:25","14:25","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
43,"EK2557","2025-01-04","Dubai ","DWC","Dubai ","DWC","12:54","12:54","0:34","13:28","13:28","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
44,"EK2556","2025-01-04","Dubai ","DWC","Dubai ","DWC","11:54","11:54","0:33","12:28","12:28","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
45,"EK2555","2025-01-04","Dubai ","DWC","Dubai ","DWC","11:04","11:04","0:34","11:38","11:38","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
46,"EK2554","2025-01-04","Dubai ","DWC","Dubai ","DWC","09:57","09:57","0:40","10:37","10:37","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
47,"EK2586","2025-01-04","Dubai ","DXB","Dubai ","DWC","08:50","08:50","0:38","09:28","09:28","A6-EXB","Airbus A350-941","2025-01-10 00:00:00"
54,"EK131","2025-01-09","Dubai ","DXB","Moscow ","DME","16:15","17:03","4:54","20:57","20:50","A6-EDK","Airbus A380-861","2025-01-10 00:00:00"
55,"EK132","2025-01-08","Moscow ","DME","Dubai ","DXB","23:30","00:27","4:55","06:22","06:15","A6-EDK","Airbus A380-861","2025-01-10 00:00:00"
56,"EK131","2025-01-08","Dubai ","DXB","Moscow ","DME","16:15","17:34","4:39","21:13","20:50","A6-EDK","Airbus A380-861","2025-01-10 00:00:00"
57,"EK806","2025-01-08","Jeddah ","JED","Dubai ","DXB","11:10","11:42","2:13","14:55","15:00","A6-EDK","Airbus A380-861","2025-01-10 00:00:00"
58,"EK805","2025-01-08","Dubai ","DXB","Jeddah ","JED","07:05","07:36","2:33","09:09","09:20","A6-EDK","Airbus A380-861","2025-01-10 00:00:00"
59,"EK142","2025-01-07","Madrid ","MAD","Dubai ","DXB","14:25","14:45","6:27","00:12","00:25","A6-EDK","Airbus A380-861","2025-01-10 00:00:00"
60,"EK141","2025-01-07","Dubai ","DXB","Madrid ","MAD","07:25","07:55","7:25","12:20","12:40","A6-EDK","Airbus A380-861","2025-01-10 00:00:00"
61,"EK16","2025-01-06","London ","LGW","Dubai ","DXB","13:35","14:23","6:26","00:49","00:40","A6-EDK","Airbus A380-861","2025-01-10 00:00:00"
1586,"EK9923","2025-01-09","Dubai ","DWC","London ","LHR","10:00","13:58","7:04","17:02","13:30","A6-EFN","Boeing 777-F1H","2025-01-10 00:00:00"
69,"EK132","2025-01-02","Moscow ","DME","Dubai ","DXB","23:30","00:23","5:06","06:28","06:15","A6-EDK","Airbus A380-861","2025-01-10 00:00:00"
92,"EK926","2025-01-02","Cairo ","CAI","Dubai ","DXB","00:50","01:13","2:44","05:57","06:10","A6-EDO","Airbus A380-861","2025-01-10 00:00:00"
107,"EK133","2025-01-03","Dubai ","DXB","Moscow ","DME","09:20","09:43","4:50","13:33","13:55","A6-EDQ","Airbus A380-861","2025-01-10 00:00:00"
117,"EK322","2025-01-02","Dubai ","DXB","Seoul ","ICN","03:30","04:03","7:42","16:45","16:50","A6-EDS","Airbus A380-861","2025-01-10 00:00:00"
63,"EK134","2025-01-05","Moscow ","DME","Dubai ","DXB","16:35","17:02","4:46","22:49","23:15","A6-EDK","Airbus A380-861","2025-01-10 00:00:00"
64,"EK133","2025-01-05","Dubai ","DXB","Moscow ","DME","09:20","10:02","5:01","14:03","13:55","A6-EDK","Airbus A380-861","2025-01-10 00:00:00"
65,"EK132","2025-01-04","Moscow ","DME","Dubai ","DXB","23:30","00:00","4:55","05:55","06:15","A6-EDK","Airbus A380-861","2025-01-10 00:00:00"
66,"EK131","2025-01-04","Dubai ","DXB","Moscow ","DME","16:15","16:39","5:06","20:45","20:50","A6-EDK","Airbus A380-861","2025-01-10 00:00:00"
67,"EK32","2025-01-03","London ","LHR","Dubai ","DXB","19:00","19:40","6:03","05:43","05:50","A6-EDK","Airbus A380-861","2025-01-10 00:00:00"
68,"EK31","2025-01-03","Dubai ","DXB","London ","LHR","12:10","12:42","7:37","16:19","16:10","A6-EDK","Airbus A380-861","2025-01-10 00:00:00"
70,"EK134","2025-01-09","Moscow ","DME","Dubai ","DXB","16:35","17:00","4:51","22:51","23:15","A6-EDM","Airbus A380-861","2025-01-10 00:00:00"
71,"EK133","2025-01-09","Dubai ","DXB","Moscow ","DME","09:20","10:06","4:47","13:53","13:55","A6-EDM","Airbus A380-861","2025-01-10 00:00:00"
72,"EK72","2025-01-08","Paris ","CDG","Dubai ","DXB","10:00","11:02","5:52","19:54","19:40","A6-EDM","Airbus A380-861","2025-01-10 00:00:00"
73,"EK71","2025-01-07","Dubai ","DXB","Paris ","CDG","03:20","03:53","7:06","07:59","08:00","A6-EDM","Airbus A380-861","2025-01-10 00:00:00"
74,"EK134","2025-01-07","Moscow ","DME","Dubai ","DXB","16:35","17:15","4:54","23:08","23:15","A6-EDM","Airbus A380-861","2025-01-10 00:00:00"
75,"EK133","2025-01-07","Dubai ","DXB","Moscow ","DME","09:20","10:23","5:04","14:26","13:55","A6-EDM","Airbus A380-861","2025-01-10 00:00:00"
76,"EK132","2025-01-06","Moscow ","DME","Dubai ","DXB","23:30","00:30","4:57","06:27","06:15","A6-EDM","Airbus A380-861","2025-01-10 00:00:00"
77,"EK131","2025-01-06","Dubai ","DXB","Moscow ","DME","16:15","16:36","5:11","20:47","20:50","A6-EDM","Airbus A380-861","2025-01-10 00:00:00"
78,"EK242","2025-01-05","Toronto ","YYZ","Dubai ","DXB","13:55","14:26","12:38","12:04","11:40","A6-EDM","Airbus A380-861","2025-01-10 00:00:00"
79,"EK241","2025-01-04","Dubai ","DXB","Toronto ","YYZ","03:30","04:09","13:30","08:39","08:50","A6-EDM","Airbus A380-861","2025-01-10 00:00:00"
80,"EK804","2025-01-04","Jeddah ","JED","Dubai ","DXB","20:20","20:41","2:11","23:52","00:30","A6-EDM","Airbus A380-861","2025-01-10 00:00:00"
81,"EK803","2025-01-04","Dubai ","DXB","Jeddah ","JED","15:45","16:05","3:07","18:12","18:00","A6-EDM","Airbus A380-861","2025-01-10 00:00:00"
82,"EK242","2025-01-03","Toronto ","YYZ","Dubai ","DXB","13:55","14:12","11:59","11:10","11:40","A6-EDM","Airbus A380-861","2025-01-10 00:00:00"
83,"EK241","2025-01-02","Dubai ","DXB","Toronto ","YYZ","03:30","04:14","13:27","08:41","08:50","A6-EDM","Airbus A380-861","2025-01-10 00:00:00"
84,"EK78","2025-01-06","Nice ","NCE","Dubai ","DXB","14:30","15:16","5:43","23:59","23:35","A6-EDO","Airbus A380-861","2025-01-10 00:00:00"
86,"EK128","2025-01-05","Vienna ","VIE","Dubai ","DXB","14:55","15:47","4:48","23:36","23:25","A6-EDO","Airbus A380-861","2025-01-10 00:00:00"
87,"EK127","2025-01-05","Dubai ","DXB","Vienna ","VIE","08:55","10:00","5:58","12:59","12:25","A6-EDO","Airbus A380-861","2025-01-10 00:00:00"
88,"EK92","2025-01-04","Milan ","MXP","Dubai ","DXB","21:35","23:05","5:15","07:20","06:45","A6-EDO","Airbus A380-861","2025-01-10 00:00:00"
89,"EK91","2025-01-04","Dubai ","DXB","Milan ","MXP","15:40","16:44","6:38","20:22","19:35","A6-EDO","Airbus A380-861","2025-01-10 00:00:00"
90,"EK88","2025-01-03","Zurich ","ZRH","Dubai ","DXB","14:35","15:50","5:21","00:11","23:45","A6-EDO","Airbus A380-861","2025-01-10 00:00:00"
91,"EK87","2025-01-03","Dubai ","DXB","Zurich ","ZRH","08:25","09:07","6:32","12:39","12:25","A6-EDO","Airbus A380-861","2025-01-10 00:00:00"
95,"EK384","2025-01-08","Dubai ","DXB","Bangkok ","BKK","03:05","14:25","2:18","17:43","12:05","A6-EOU","Airbus A380-861","2025-01-10 00:00:00"
93,"EK385","2025-01-09","Hong Kong ","HKG","Bangkok ","BKK","21:00","21:35","2:37","23:12","23:15","A6-EDQ","Airbus A380-861","2025-01-10 00:00:00"
96,"EK134","2025-01-08","Moscow ","DME","Dubai ","DXB","16:35","16:51","4:52","22:43","23:15","A6-EDQ","Airbus A380-861","2025-01-10 00:00:00"
97,"EK133","2025-01-08","Dubai ","DXB","Moscow ","DME","09:20","10:12","4:52","14:04","13:55","A6-EDQ","Airbus A380-861","2025-01-10 00:00:00"
98,"EK74","2025-01-07","Paris ","CDG","Dubai ","DXB","14:25","14:59","5:58","23:58","00:15","A6-EDQ","Airbus A380-861","2025-01-10 00:00:00"
99,"EK73","2025-01-07","Dubai ","DXB","Paris ","CDG","07:50","08:31","6:48","12:18","12:25","A6-EDQ","Airbus A380-861","2025-01-10 00:00:00"
100,"EK764","2025-01-06","Johannesburg ","JNB","Dubai ","DXB","18:50","19:52","7:48","05:41","05:05","A6-EDQ","Airbus A380-861","2025-01-10 00:00:00"
101,"EK763","2025-01-06","Dubai ","DXB","Johannesburg ","JNB","10:10","11:04","7:56","17:00","16:35","A6-EDQ","Airbus A380-861","2025-01-10 00:00:00"
102,"EK343","2025-01-05","Kuala Lumpur ","KUL","Dubai ","DXB","01:25","01:49","6:42","04:31","04:45","A6-EDQ","Airbus A380-861","2025-01-10 00:00:00"
103,"EK342","2025-01-05","Dubai ","DXB","Kuala Lumpur ","KUL","10:40","12:00","6:11","22:11","21:55","A6-EDQ","Airbus A380-861","2025-01-10 00:00:00"
104,"EK134","2025-01-04","Moscow ","DME","Dubai ","DXB","16:35","17:39","4:48","23:27","23:15","A6-EDQ","Airbus A380-861","2025-01-10 00:00:00"
105,"EK133","2025-01-04","Dubai ","DXB","Moscow ","DME","09:20","09:41","5:11","13:52","13:55","A6-EDQ","Airbus A380-861","2025-01-10 00:00:00"
106,"EK134","2025-01-03","Moscow ","DME","Dubai ","DXB","16:35","17:10","5:00","23:10","23:15","A6-EDQ","Airbus A380-861","2025-01-10 00:00:00"
108,"EK16","2025-01-07","London ","LGW","Dubai ","DXB","13:35","15:14","6:19","01:33","00:40","A6-EDS","Airbus A380-861","2025-01-10 00:00:00"
109,"EK15","2025-01-07","Dubai ","DXB","London ","LGW","07:40","08:58","6:59","11:57","11:40","A6-EDS","Airbus A380-861","2025-01-10 00:00:00"
110,"EK18","2025-01-06","Manchester ","MAN","Dubai ","DXB","13:10","14:19","6:54","01:14","00:25","A6-EDS","Airbus A380-861","2025-01-10 00:00:00"
111,"EK17","2025-01-06","Dubai ","DXB","Manchester ","MAN","07:10","07:31","8:13","11:44","11:15","A6-EDS","Airbus A380-861","2025-01-10 00:00:00"
112,"EK72","2025-01-05","Paris ","CDG","Dubai ","DXB","10:00","11:03","5:54","19:56","19:40","A6-EDS","Airbus A380-861","2025-01-10 00:00:00"
113,"EK71","2025-01-04","Dubai ","DXB","Paris ","CDG","03:20","04:08","7:05","08:13","08:00","A6-EDS","Airbus A380-861","2025-01-10 00:00:00"
114,"EK28","2025-01-04","Glasgow ","GLA","Dubai ","DXB","13:25","14:14","6:38","00:52","00:55","A6-EDS","Airbus A380-861","2025-01-10 00:00:00"
115,"EK27","2025-01-04","Dubai ","DXB","Glasgow ","GLA","07:20","07:49","8:01","11:49","11:35","A6-EDS","Airbus A380-861","2025-01-10 00:00:00"
116,"EK323","2025-01-03","Seoul ","ICN","Dubai ","DXB","23:40","00:48","9:28","05:16","05:05","A6-EDS","Airbus A380-861","2025-01-10 00:00:00"
118,"EK373","2025-01-09","Bangkok ","BKK","Dubai ","DXB","20:35","21:33","6:21","00:55","00:50","A6-EDU","Airbus A380-861","2025-01-10 00:00:00"
119,"EK372","2025-01-09","Dubai ","DXB","Bangkok ","BKK","09:30","11:01","5:20","19:21","18:40","A6-EDU","Airbus A380-861","2025-01-10 00:00:00"
120,"EK76","2025-01-08","Paris ","CDG","Dubai ","DXB","21:35","22:40","5:57","07:37","07:20","A6-EDU","Airbus A380-861","2025-01-10 00:00:00"
122,"EK92","2025-01-07","Milan ","MXP","Dubai ","DXB","21:35","22:45","5:21","07:05","06:45","A6-EDU","Airbus A380-861","2025-01-10 00:00:00"
94,"EK384","2025-01-09","Bangkok ","BKK","Hong Kong ","HKG","13:45","04:04","5:22","12:25","17:40","A6-EOK","Airbus A380-861","2025-01-10 00:00:00"
1587,"EK9885","2025-01-08","Hong Kong ","HKG","Dubai ","DWC","03:00","05:47","8:20","10:07","07:55","A6-EFN","Boeing 777-F1H","2025-01-10 00:00:00"
140,"EK761","2025-01-03","Dubai ","DXB","Johannesburg ","JNB","04:10","04:43","7:43","10:26","10:25","A6-EDW","Airbus A380-861","2025-01-10 00:00:00"
169,"EK343","2025-01-02","Kuala Lumpur ","KUL","Dubai ","DXB","01:25","01:39","6:45","04:24","04:45","A6-EEA","Airbus A380-861","2025-01-10 00:00:00"
124,"EK76","2025-01-06","Paris ","CDG","Dubai ","DXB","21:35","23:07","6:12","08:19","07:20","A6-EDU","Airbus A380-861","2025-01-10 00:00:00"
125,"EK75","2025-01-06","Dubai ","DXB","Paris ","CDG","14:50","15:33","6:59","19:32","19:30","A6-EDU","Airbus A380-861","2025-01-10 00:00:00"
126,"EK569","2025-01-05","Bengaluru ","BLR","Dubai ","DXB","04:30","05:10","3:32","07:13","07:10","A6-EDU","Airbus A380-861","2025-01-10 00:00:00"
127,"EK568","2025-01-05","Dubai ","DXB","Bengaluru ","BLR","21:25","22:04","3:02","02:36","02:30","A6-EDU","Airbus A380-861","2025-01-10 00:00:00"
128,"EK322","2025-01-08","Dubai ","DXB","Seoul ","ICN","03:30","03:56","7:48","16:43","16:50","A6-EDW","Airbus A380-861","2025-01-10 00:00:00"
129,"EK74","2025-01-08","Paris ","CDG","Dubai ","DXB","14:25","15:09","6:02","00:11","00:15","A6-EDW","Airbus A380-861","2025-01-10 00:00:00"
130,"EK73","2025-01-08","Dubai ","DXB","Paris ","CDG","07:50","08:19","7:08","12:26","12:25","A6-EDW","Airbus A380-861","2025-01-10 00:00:00"
131,"EK764","2025-01-07","Johannesburg ","JNB","Dubai ","DXB","18:50","19:39","7:48","05:26","05:05","A6-EDW","Airbus A380-861","2025-01-10 00:00:00"
132,"EK763","2025-01-07","Dubai ","DXB","Johannesburg ","JNB","10:10","11:16","7:42","16:59","16:35","A6-EDW","Airbus A380-861","2025-01-10 00:00:00"
133,"EK52","2025-01-06","Munich ","MUC","Dubai ","DXB","21:25","21:40","5:38","06:18","06:35","A6-EDW","Airbus A380-861","2025-01-10 00:00:00"
134,"EK51","2025-01-06","Dubai ","DXB","Munich ","MUC","15:50","16:09","5:58","19:07","19:30","A6-EDW","Airbus A380-861","2025-01-10 00:00:00"
136,"EK17","2025-01-05","Dubai ","DXB","Manchester ","MAN","07:10","08:00","8:42","12:42","11:15","A6-EDW","Airbus A380-861","2025-01-10 00:00:00"
137,"EK702","2025-01-04","Port Louis ","MRU","Dubai ","DXB","16:45","16:57","6:15","23:12","23:25","A6-EDW","Airbus A380-861","2025-01-10 00:00:00"
138,"EK701","2025-01-03","Dubai ","DXB","Port Louis ","MRU","02:25","02:48","5:59","08:47","09:10","A6-EDW","Airbus A380-861","2025-01-10 00:00:00"
139,"EK762","2025-01-03","Johannesburg ","JNB","Dubai ","DXB","13:25","14:10","7:48","23:58","23:45","A6-EDW","Airbus A380-861","2025-01-10 00:00:00"
141,"EK366","2025-01-08","Dubai ","DXB","Taipei ","TPE","03:40","04:16","6:59","15:15","15:35","A6-EDZ","Airbus A380-861","2025-01-10 00:00:00"
142,"EK128","2025-01-08","Vienna ","VIE","Dubai ","DXB","14:55","15:13","5:11","23:23","23:25","A6-EDZ","Airbus A380-861","2025-01-10 00:00:00"
143,"EK127","2025-01-08","Dubai ","DXB","Vienna ","VIE","08:55","09:22","5:39","12:01","12:25","A6-EDZ","Airbus A380-861","2025-01-10 00:00:00"
144,"EK417","2025-01-07","Sydney ","SYD","Dubai ","DXB","21:10","21:24","13:39","04:04","04:30","A6-EDZ","Airbus A380-861","2025-01-10 00:00:00"
145,"EK416","2025-01-06","Dubai ","DXB","Sydney ","SYD","21:45","22:23","13:25","18:48","18:35","A6-EDZ","Airbus A380-861","2025-01-10 00:00:00"
146,"EK72","2025-01-06","Paris ","CDG","Dubai ","DXB","10:00","10:27","6:09","19:35","19:40","A6-EDZ","Airbus A380-861","2025-01-10 00:00:00"
147,"EK71","2025-01-05","Dubai ","DXB","Paris ","CDG","03:20","03:56","6:53","07:49","08:00","A6-EDZ","Airbus A380-861","2025-01-10 00:00:00"
148,"EK98","2025-01-05","Rome ","FCO","Dubai ","DXB","14:55","15:18","5:04","23:22","23:35","A6-EDZ","Airbus A380-861","2025-01-10 00:00:00"
149,"EK97","2025-01-05","Dubai ","DXB","Rome ","FCO","08:55","10:03","6:06","13:09","12:40","A6-EDZ","Airbus A380-861","2025-01-10 00:00:00"
150,"EK764","2025-01-04","Johannesburg ","JNB","Dubai ","DXB","18:50","19:12","7:42","04:53","05:05","A6-EDZ","Airbus A380-861","2025-01-10 00:00:00"
151,"EK763","2025-01-04","Dubai ","DXB","Johannesburg ","JNB","10:10","10:45","7:54","16:39","16:35","A6-EDZ","Airbus A380-861","2025-01-10 00:00:00"
152,"EK802","2025-01-04","Jeddah ","JED","Dubai ","DXB","04:10","04:45","2:08","07:53","08:05","A6-EDZ","Airbus A380-861","2025-01-10 00:00:00"
153,"EK801","2025-01-03","Dubai ","DXB","Jeddah ","JED","00:15","00:37","2:41","02:18","02:25","A6-EDZ","Airbus A380-861","2025-01-10 00:00:00"
154,"EK202","2025-01-03","New York ","JFK","Dubai ","DXB","23:00","23:31","11:41","20:12","20:25","A6-EDZ","Airbus A380-861","2025-01-10 00:00:00"
155,"EK928","2025-01-09","Cairo ","CAI","Dubai ","DXB","12:30","12:35","2:38","17:13","17:45","A6-EEA","Airbus A380-861","2025-01-10 00:00:00"
156,"EK927","2025-01-09","Dubai ","DXB","Cairo ","CAI","08:10","08:32","3:32","10:04","10:25","A6-EEA","Airbus A380-861","2025-01-10 00:00:00"
157,"EK18","2025-01-08","Manchester ","MAN","Dubai ","DXB","13:10","14:27","6:33","01:00","00:25","A6-EEA","Airbus A380-861","2025-01-10 00:00:00"
158,"EK17","2025-01-08","Dubai ","DXB","Manchester ","MAN","07:10","07:40","7:39","11:19","11:15","A6-EEA","Airbus A380-861","2025-01-10 00:00:00"
159,"EK50","2025-01-07","Munich ","MUC","Dubai ","DXB","14:30","14:42","5:25","23:07","23:25","A6-EEA","Airbus A380-861","2025-01-10 00:00:00"
160,"EK49","2025-01-07","Dubai ","DXB","Munich ","MUC","08:40","09:22","5:49","12:11","12:30","A6-EEA","Airbus A380-861","2025-01-10 00:00:00"
161,"EK32","2025-01-06","London ","LHR","Dubai ","DXB","19:00","19:35","6:24","05:59","05:50","A6-EEA","Airbus A380-861","2025-01-10 00:00:00"
162,"EK31","2025-01-06","Dubai ","DXB","London ","LHR","12:10","12:35","7:28","16:03","16:10","A6-EEA","Airbus A380-861","2025-01-10 00:00:00"
163,"EK32","2025-01-05","London ","LHR","Dubai ","DXB","19:00","20:09","6:16","06:25","05:50","A6-EEA","Airbus A380-861","2025-01-10 00:00:00"
164,"EK31","2025-01-05","Dubai ","DXB","London ","LHR","12:10","12:31","7:48","16:19","16:10","A6-EEA","Airbus A380-861","2025-01-10 00:00:00"
165,"EK18","2025-01-04","Manchester ","MAN","Dubai ","DXB","13:10","14:31","6:15","00:46","00:25","A6-EEA","Airbus A380-861","2025-01-10 00:00:00"
166,"EK17","2025-01-04","Dubai ","DXB","Manchester ","MAN","07:10","07:36","7:45","11:20","11:15","A6-EEA","Airbus A380-861","2025-01-10 00:00:00"
